13745-June	GEO
13746-World	ORGANIZATION
13746-Health	ORGANIZATION
13746-Nigeria	GEO
13746-France	PERSON
13751-Sri	GEO
13752-Washington	ORGANIZATION
13752-Mullaittivu	GEO
13752-3,000	TIME
13753-Monday	GEO
13755-1500	TIME
13755-complete	TIME
13756-Japan	GEO
13756-Afghanistan	GEO
13756-President	GEO
13756-Hamid	ORGANIZATION
13756-Karzai	PERSON
13756-Foreign	PERSON
13756-Minister	ORGANIZATION
13756-Rangin	ORGANIZATION
13756-Dadfar	ORGANIZATION
13757-Masahiko	GEO
13757-Kabul	GEO
13758-Mr.	GEO
13758-Karzai	PERSON
13758-Spanta	GEO
13759-Komura	GEO
13759-Pakistan	GEO
13761-Japan	GEO
13762-President	GEO
13762-April	GEO
13763-Pakistan	GEO
13763-President	GEO
13763-Pervez	ORGANIZATION
13763-Musharraf	PERSON
13763-Prime	PERSON
13763-Minister	ORGANIZATION
13763-Yousuf	ORGANIZATION
13763-Raza	ORGANIZATION
13763-Foreign	GEO
13763-Minister	ORGANIZATION
13763-Shah	ORGANIZATION
13763-Mehmood	ORGANIZATION
13765-Israel	GEO
13766-Kashmir	GEO
13766-Srinagar	GEO
13766-Syed	GEO
13766-Ali	ORGANIZATION
13767-All	ORGANIZATION
13767-Parties	ORGANIZATION
13767-Hurriyat	ORGANIZATION
13768-India	GEO
13768-Israel	GEO
13769-Muslim	GEO
13769-Kashmir	GEO
13770-Kashmir	GEO
13770-India	GEO
13770-Pakistan	PERSON
13770-full	TIME
13771-Haiti	GEO
13773-clear	TIME
13774-United	GEO
13775-United	ORGANIZATION
13777-Miami	ORGANIZATION
13778-Sunday	GEO
13778-Haiti	GEO
13779-Haiti	GEO
13779-January	GEO
13780-Iraq	GEO
13781-Representative	GEO
13781-Duncan	ORGANIZATION
13781-California	GEO
13781-House	ORGANIZATION
13781-Secretary	ORGANIZATION
13781-Donald	ORGANIZATION
13782-CNN	GEO
13783-Iraq	GEO
13785-U.S.	GEO
13785-Iraq	GEO
13786-Integra-A	GEO
13786-Hotel	PERSON
13786-Restaurant	PERSON
13788-1993	TIME
13789-Nov.	ARTIFACT
13790-Integra	GEO
13790-Hallwood	GEO
13790-Group	ORGANIZATION
13791-Hallwood	GEO
13791-Integra	GEO
13792-Europe	GEO
13792-dependent	TIME
13792-EU	GEO
13792-economic	GEO
13793-September	GEO
13793-1991	TIME
13793-5	GEO
13793-federal	GEO
13794-Yugoslavia	GEO
13794-free	GEO
13795-economic	GEO
13795-1996	TIME
13796-fiscal	GEO
13797-high	TIME
13797-gray	GEO
13798-economic	GEO
13798-direct	GEO
13799-fiscal	GEO
13799-financial	GEO
13799-2010	TIME
13800-monetary	GEO
13801-2010	TIME
13802-1999	TIME
13804-three	GEO
13804-international	GEO
13804-8,000	TIME
13805-2005	TIME
13805-Indonesia	GEO
13808-unemployed	TIME
13808-Timor-Leste	GEO
13809-Gas	GEO
13810-June	GEO
13810-2005	TIME
13810-National	ORGANIZATION
13810-Petroleum	ORGANIZATION
13810-Timor-Leste	GEO
13811-US	GEO
13811-billion	TIME
13811-October	GEO
13811-2010	TIME
13813-2008	TIME
13813-IDPs	NATURAL
13813-2009	TIME
13814-2009	TIME
13814-2010	TIME
13816-economic	GEO
13817-Finland	GEO
13817-Sweden	GEO
13817-grand	GEO
13817-Russia	GEO
13817-1809	TIME
13818-1917	TIME
13819-World	GEO
13819-War	ORGANIZATION
13819-Soviet	ORGANIZATION
13820-modern	GEO
13820-industrial	GEO
13820-Western	GEO
13821-European	ORGANIZATION
13821-1995	TIME
13821-Nordic	GEO
13821-January	GEO
13821-1999	TIME
13822-Finland	GEO
13822-social	GEO
13823-Clipperton	GEO
